Date,Close,Open,High,Low
04/05/22,266,265.1,268.78,265
04/04/22,266,268.51,268.51,264
04/01/22,270.3,268.75,272.5,265.05
03/31/22,268.15,264.2,268.15,264.15
03/30/22,264,264.25,265.32,262.91
03/29/22,263,263.05,264.75,262.52
03/28/22,262,266,266,262
03/25/22,263.75,265,265,263
03/24/22,264,267,267,262.4
03/22/22,265,261,267.01,261
03/21/22,262.2,266.9,266.9,262
03/18/22,263.02,266,266.1,262.15
03/17/22,266.49,269,269,266
03/16/22,267.79,269,269.44,267
03/15/22,269,270.45,270.45,267.25
03/14/22,267.8,266.1,271,266.1
03/11/22,268.73,271.81,271.9,267.03
03/10/22,270.25,271.81,271.81,268.9
03/09/22,269,264.1,272,264.1
03/08/22,265.99,265.6,269.99,265.1
03/07/22,266.5,272.01,272.01,265.1
03/04/22,272.52,269,275,267.67
03/03/22,269.3,268.23,270,266.5
03/02/22,268.5,273.67,273.67,267
03/01/22,274,275.01,275.25,272.5
02/28/22,274,269.95,274,266.5
02/25/22,268.25,268.5,269.9,265
02/24/22,265.06,270,272,264.5
02/23/22,272,275.89,275.89,271
02/22/22,273.9,276,276.27,270.7
02/21/22,276.05,276.51,277.7,275.02
02/18/22,276.5,275,276.94,274
02/17/22,275,277,278.49,273.1
02/16/22,286,284.9,286.99,281.72
02/15/22,284.8,281.1,284.9,280.51
02/14/22,282.9,284,284,278.35
02/11/22,285.7,287.75,288.18,283.61
02/10/22,287.5,288.01,290.8,286.01
02/09/22,290.15,285.55,291.7,285.55
02/08/22,284.1,275.51,284.81,274.25
02/07/22,275.76,274.65,275.77,274
02/04/22,273.4,275.44,278.37,273
